zip3,Longitude_avg,Latitude_avg,n_screened,n_positive,positivity
601,-88.21377699,41.953921128,44086,2726,6.18
602,-87.692309,42.009314167,768,48,6.25
603,-87.7831615,41.873752167,516,18,3.49
604,-87.91551695,41.527747553,55632,4028,7.24
605,-88.28958971,41.752510823,67704,4774,7.05
606,-87.68341624,41.847501988,359222,19952,5.55
607,-87.772662,41.9473,505,30,5.94
608,-87.7068,41.72247325,436,12,2.75
609,-87.94323975,40.829412632,5871,570,9.71
614,-90.41229254,40.834716351,74,74,100
617,-88.92107545,40.503912517,10620,480,4.52
618,-88.15333495,40.111890111,64008,4221,6.59
619,-88.23064242,39.716895677,1798,31,1.72
620,-90.00362718,39.058295675,10880,240,2.21
622,-89.7873551,38.439112024,13940,492,3.53
624,-88.21008217,39.046554413,1764,63,3.57
627,-89.5999464,39.700560675,80,40,50
628,-88.67219821,38.314381989,3290,188,5.71
629,-88.98875221,37.545902035,1548,86,5.56
630,-90.65411785,38.44416747,77286,858,1.11
631,-90.28981135,38.643334704,120487,2485,2.06
633,-90.98908106,38.93724151,48297,306,0.63
636,-90.62637826,37.652832795,1170,78,6.67
638,-89.77699355,36.505707075,636,53,8.33
640,-94.22461179,39.090185368,22848,952,4.17
641,-94.5029325,39.097896413,51040,2160,4.23
647,-94.2066919,38.08422816,2000,50,2.5
648,-94.34383983,36.9635427,400,80,20
650,-92.28183937,38.4521655,480,60,12.5
652,-92.36690042,39.181718519,208,52,25
657,-92.99489036,37.049384675,2156,154,7.14
658,-93.30705207,37.213593333,960,15,1.56
660,-95.10692532,38.932072014,83250,3034,3.64
661,-94.83790694,39.181563389,4986,216,4.33
662,-94.7441756,38.945223686,86730,2660,3.07
664,-96.03235474,39.330173872,11076,390,3.52
665,-96.12043613,39.340982239,13984,460,3.29
666,-95.76091336,39.059905905,73080,4326,5.92
668,-96.36555238,38.388414892,2590,259,10
674,-97.71614698,38.892262862,65,65,100
680,-96.42847817,41.461542417,18540,780,4.21
681,-96.08236325,41.259256906,50615,1484,2.93
683,-96.83901491,40.4628209,8470,70,0.83
684,-96.61448264,40.538576696,6608,56,0.85
685,-96.69156293,40.817815067,22290,300,1.35
687,-97.75828749,42.377855633,1027,158,15.38
688,-98.9335312,41.144236072,3036,69,2.27
690,-100.8895307,40.343087185,5481,81,1.48
691,-101.5937493,41.276764383,29657,799,2.69
693,-103.0579094,42.141162774,403,31,7.69
700,-90.15258071,29.830565928,9936,1104,11.11
701,-89.96252164,29.992950545,3432,462,13.46
703,-90.84469944,29.70171639,1435,246,17.14
704,-90.19949698,30.572560827,11752,208,1.77
705,-92.10689408,30.216447237,286672,22116,7.71
706,-93.18479544,30.403082644,12600,3060,24.29
707,-91.19211272,30.507806125,2160,360,16.67
708,-91.13948033,30.475974326,2279,258,11.32
710,-93.47081134,32.454953016,146010,20832,14.27
711,-93.74288885,32.556680075,173840,25200,14.5
712,-92.01405116,32.549015873,89775,16317,18.18
713,-92.02972142,31.311491302,40757,7420,18.21
714,-92.85560352,31.529066155,68586,11005,16.05
716,-91.74071974,33.686047302,7697,1419,18.44
717,-92.80383883,33.49821325,2268,252,11.11
718,-93.81410156,33.671001154,14391,2106,14.63
719,-93.52190438,34.398437,5170,1269,24.55
720,-91.97699302,34.961534458,35773,3818,10.67
721,-92.09459223,34.90284158,30498,3588,11.76
722,-92.34247692,34.757797833,13104,1200,9.16
723,-90.52426594,35.130819357,14560,2520,17.31
724,-90.7426863,36.043275829,9660,1190,12.32
727,-94.15637769,36.156314725,340782,4947,1.45
728,-93.38174882,35.28247259,897,156,17.39
730,-97.75916309,35.308511216,133672,4400,3.29
731,-97.47160356,35.505733113,63440,2160,3.4
735,-98.7068295,34.522009589,1120,56,5
740,-96.20078367,36.268363132,2736,76,2.78
741,-95.97262916,36.132420351,57,57,100
747,-95.58488264,34.016171167,864,36,4.17
748,-96.68338151,35.173693472,5830,212,3.64
750,-96.7815748,33.026020807,2884665,51377,1.78
751,-96.46546571,32.561770435,277450,6386,2.3
752,-96.78619368,32.798177041,1066749,31317,2.94
753,-96.777626,32.767268,4116,196,4.76
754,-95.82369985,33.359157988,150500,2752,1.83
755,-94.35364141,33.285779759,11310,986,8.72
756,-94.64178037,32.453024088,12654,684,5.41
757,-95.34343287,32.250395783,20102,92,0.46
758,-95.67729889,31.564508806,3456,72,2.08
759,-94.37468169,31.312700288,4420,312,7.06
760,-97.35215675,32.672529597,1086624,23400,2.15
761,-97.31157665,32.762552617,726000,21660,2.98
762,-97.26884136,33.397721234,384836,7144,1.86
763,-98.69997233,33.775220222,1008,36,3.57
764,-98.46691726,32.532657611,18198,540,2.97
765,-97.52968785,31.082374393,10919,305,2.79
766,-97.03148862,31.743578889,58149,1512,2.6
767,-97.16827089,31.550665167,17172,360,2.1
770,-95.41198373,29.77473823,539100,40500,7.51
772,-95.42963896,29.830199476,4674,82,1.75
773,-95.34232395,30.337339411,119939,6059,5.05
774,-95.92299465,29.46941006,203101,10292,5.07
775,-95.05952462,29.581427205,118260,8176,6.91
776,-94.18802732,30.093609459,16650,148,0.89
777,-94.25104487,30.0480134,4215,180,4.27
778,-96.30628171,30.626181706,23358,867,3.71
780,-98.90069392,28.896109156,21184,896,4.23
781,-98.010179,29.220969388,56301,2254,4
782,-98.49676092,29.462394472,300464,12549,4.18
784,-97.45734849,27.768298436,5304,195,3.68
785,-98.04197403,26.346363366,3408,71,2.08
786,-97.90532693,30.261472173,64800,900,1.39
787,-97.7589253,30.319827188,194400,4880,2.51
788,-100.0124686,29.305140676,1480,37,2.5
789,-96.8417949,29.916245379,3509,174,4.96
